dsld_id,api_url,retrieved_on,api_sha256,snapshot_rows,api_rows,matched_amounts_agree,interpretation
2707,https://api.ods.od.nih.gov/dsld/v9/label/2707,2026-09-08,709ae1911deec311aac5cfa16194ec3710520f3f44e2038647d17739066c8b4c,1,1,True,Amount agreement only; not image or efficacy validation
272452,https://api.ods.od.nih.gov/dsld/v9/label/272452,2026-09-08,13db19f2bfb6ffa1365728c45bbababaefd7426f26382218a0aaa9039240dc2a,1,1,True,Amount agreement only; not image or efficacy validation
273606,https://api.ods.od.nih.gov/dsld/v9/label/273606,2026-09-08,f84ddd2616af440bdb1bedc69bc37147e93ff25223206c65ed048b168b4729b4,1,1,True,Amount agreement only; not image or efficacy validation
274287,https://api.ods.od.nih.gov/dsld/v9/label/274287,2026-09-08,b0423f07c1f8e48f61954d0115a9cea946389cf13388727fed7a112ead34b186,1,1,True,Amount agreement only; not image or efficacy validation
276660,https://api.ods.od.nih.gov/dsld/v9/label/276660,2026-09-08,567b42e4c42ad4b9a9c15816ef805c46b8ae16790f8889b16a663cc5fb4f9ced,1,1,True,Amount agreement only; not image or efficacy validation
282205,https://api.ods.od.nih.gov/dsld/v9/label/282205,2026-09-08,81d368160ed380a0fe6841d6375c54b33563d775baca3c3a9993c4733a0f1949,1,1,True,Amount agreement only; not image or efficacy validation
290441,https://api.ods.od.nih.gov/dsld/v9/label/290441,2026-09-08,f72dbcd23a2454bfa22e0cb773822450688d0e3fe45bc8bd829fa7eab99fc7b4,1,1,True,Amount agreement only; not image or efficacy validation
297713,https://api.ods.od.nih.gov/dsld/v9/label/297713,2026-09-08,21e857b388cd80ef3c9b63e10f34ffe3a05c79745b559263c1897639f564836a,1,1,True,Amount agreement only; not image or efficacy validation
299095,https://api.ods.od.nih.gov/dsld/v9/label/299095,2026-09-08,9429e06cfb9b763315e0c9048971c59f211074092a8e77d8011feaccf50a326d,1,1,True,Amount agreement only; not image or efficacy validation
302093,https://api.ods.od.nih.gov/dsld/v9/label/302093,2026-09-08,8e8a9bc74ea7a43e595edff6bdffe7a5854b74c501486888b8d530b20c309872,1,1,True,Amount agreement only; not image or efficacy validation
306204,https://api.ods.od.nih.gov/dsld/v9/label/306204,2026-09-08,f71452364e444b0f17ce5adaa92961221fe5a2429c7a1bba0490b5269dccd11f,1,1,True,Amount agreement only; not image or efficacy validation
